public_id	cf_id	spec	kind	owner_role	parent_spec_status	bucket	title	evidence_citation
CF-13	13	CF-SPEC-2	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Full architecture and research-validity remediation: make Pi Model Management authoritative for Istara, Agentic L	parent CF-SPEC-2 status=tasked measured 2026-09-09; deferred: agentic-core-integrity S2/S3 blocked; active initiative
CF-20	20	CF-SPEC-2	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-2 status=tasked measured 2026-09-09; deferred: agentic-core-integrity S2/S3 blocked; active initiative
CF-21	21	CF-SPEC-2	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-2 status=tasked measured 2026-09-09; deferred: agentic-core-integrity S2/S3 blocked; active initiative
CF-48	48	CF-SPEC-6	spec_work_item	tester	tasked	open-not-release-blocking	ITEM-002: stand up the Docker-only Mac Studio serving stack from a clean checkout of the pushed testing SHA and run the ...	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-49	49	CF-SPEC-6	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-001: complete `Debt remediation and comprehensive user-simulation QA: eliminate branch quality debt (complexity hotspots, root s	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-50	50	CF-SPEC-6	spec_requirement	tester	tasked	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-51	51	CF-SPEC-6	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-001: The implementation MUST satisfy the requested behavior: Debt remediation and comprehensive user-simulation QA: eliminate b	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-52	52	CF-SPEC-6	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-53	53	CF-SPEC-6	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-54	54	CF-SPEC-6	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-004: The implementation MUST inspect and account for impacted contracts, tests, and architecture gates.	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-55	55	CF-SPEC-6	spec_requirement	implementer	tasked	open-not-release-blocking	Implement FR-005: The implementation MUST inspect Compass Forge must-inspect relationships or record why they do not apply.	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-56	56	CF-SPEC-6	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-001: Requested behavior can be demonstrated or reviewed from the linked task evidence.	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-57	57	CF-SPEC-6	spec_requirement	tester	tasked	open-not-release-blocking	Prove SC-002: No linked task remains incomplete when the spec is accepted.	parent CF-SPEC-6 status=tasked measured 2026-09-09; deferred: debt-remediation initiative completed; residual batch work continues under this spec
CF-61	61	CF-SPEC-7	spec_requirement	tester	planned	open-not-release-blocking	Validate US-001: complete `Add global provider model defaults, selectable Settings model, and route chat through the selected provider endpo	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-62	62	CF-SPEC-7	spec_requirement	tester	planned	open-not-release-blocking	Validate US-002: review impacted files, contracts, tests, and gates before acceptance	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-64	64	CF-SPEC-7	spec_requirement	implementer	planned	open-not-release-blocking	Implement FR-002: The implementation MUST preserve unrelated behavior and avoid generated/runtime/vendor surfaces unless explicitly required	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
CF-65	65	CF-SPEC-7	spec_requirement	implementer	planned	open-not-release-blocking	Implement FR-003: The implementation MUST record verification evidence before completion.	parent CF-SPEC-7 status=planned measured 2026-09-09; deferred: provider-defaults initiative completed; spec planned with open children (ordering note)
