path	wave_owner	owning_tests	owning_docs	scenarios	security_trigger	research_spine_touch
docs/architecture/agentic-engine-deep-dive.html	W2-included	grep valid-reference check (M-21)	self (contract)	none	none	YES — research-validity-contract.md is the protected spine contract
docs/build-stream/2026-08-22-istara-pi-model-management-migration.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-08-28-debt-remediation-and-user-simulation-qa.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-08-29-provider-model-defaults-and-chat-routing.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-04-long-horizon-engine-comparison-and-main-promotion.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-05-testing-branch-readiness-and-main-promotion.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-06-systemwide-remaining-surfaces-and-design-hardening.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-07-research-spine-gates-interviews-ux-and-audit-hardening.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-agentic-engine-study.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-agentic-long-horizon-improvement.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-auth-hardening-milestone.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-auth-surface-audit-and-release-readiness.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-benchmark-modernization-full-ui-suite.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-chat-send-errno2-regression.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-memory-reindex-investigation.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-settings-collapse-chat-model-integration.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-systemwide-audit-coverage.blind-pack.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-systemwide-audit-coverage.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-08-systemwide-audit-coverage.measurement.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/2026-09-09-testing-to-main-convergence.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/pi-compat-20260908-master-a.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/pi-compat-20260908-plan-a.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/plans/testing-to-main-20260909-master-a.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/plans/testing-to-main-20260909-plan-a.md	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/build-stream/run-blind-review.sh	W2-included	tests/test_public_repo_quality.py (scan+whitespace)	self (lifecycle)	none	none	lifecycle narrative only — never report evidence
docs/features/site/manifest.json	W2-included	grep valid-reference check (M-21)	self (contract)	none	none	YES — research-validity-contract.md is the protected spine contract
tests/document_corpus/RICH-README.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/generate-rich-corpus.mjs	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich-corpus.mjs	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/chat-packs/hb-ch-01.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/chat-packs/hb-ch-02.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/chat-packs/hb-ch-03.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/context/hb-cx-01.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/context/hb-cx-02.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/context/hb-cx-03.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/context/hb-cx-04.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/manifest.json	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/method/codebook-v1.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/sources/analytics/data-dictionary.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/sources/analytics/weekly-funnel-8w.csv	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
tests/document_corpus/rich/sources/competitor/hb-comp-01.md	W1-included	tests/test_public_repo_quality.py (audit scan surface)	docs/promotion/2026-09-09-candidate-boundary.md §corpus	none (fixture data)	public-quality audit RAW_SOURCE_FORBIDDEN + scan_repeated_source_excerpts	YES — fixtures must stay tests-only synthetic; never product data (M-22)
